X = 0.6908 +/- 0.0039 	 Y = 0.5851 +/- 0.0042 	 Z = 1.1017 +/- 0.0058 

time [s] 	 Strip1_V 	 Strip2_V 	 Strip3_V 	 Strip4_V 	 Xfield_V 	 Yfield_V 	 Zfield_V 
0.00053535 	 9.5938 	 9.5000 	 10.4062 	 9.2500 	 0.0302 	 0.0281 	 0.0225 
0.00054545 	 9.4375 	 9.3438 	 10.2500 	 9.2500 	 0.0286 	 0.0306 	 0.0201 
0.00055556 	 9.2812 	 9.1875 	 9.9375 	 9.2500 	 0.0270 	 0.0289 	 0.0193 
0.00056566 	 9.2812 	 9.0312 	 9.9375 	 8.9375 	 0.0278 	 0.0257 	 0.0201 
0.00057576 	 9.2812 	 8.8750 	 9.9375 	 8.7812 	 0.0278 	 0.0241 	 0.0185 
0.00058586 	 8.9688 	 8.8750 	 9.6250 	 8.6250 	 0.0270 	 0.0233 	 0.0161 
0.00059596 	 8.6562 	 8.4062 	 9.4688 	 8.6250 	 0.0270 	 0.0233 	 0.0177 
0.00060606 	 8.6562 	 8.2500 	 9.1562 	 8.1562 	 0.0278 	 0.0273 	 0.0185 
0.00061616 	 8.1875 	 8.0938 	 9.0000 	 8.1562 	 0.0286 	 0.0249 	 0.0185 
0.00062626 	 8.3438 	 7.9375 	 8.8438 	 7.6875 	 0.0286 	 0.0249 	 0.0185 
0.00063636 	 8.0312 	 7.6250 	 8.5312 	 7.5312 	 0.0286 	 0.0249 	 0.0185 
0.00064646 	 7.7188 	 7.3125 	 8.2188 	 7.3750 	 0.0302 	 0.0233 	 0.0177 
0.00065657 	 7.5625 	 7.1562 	 8.0625 	 7.0625 	 0.0310 	 0.0241 	 0.0185 
0.00066667 	 7.2500 	 7.0000 	 7.5938 	 6.9062 	 0.0294 	 0.0241 	 0.0169 
0.00067677 	 7.0938 	 6.6875 	 7.5938 	 6.7500 	 0.0294 	 0.0265 	 0.0185 
0.00068687 	 6.9375 	 6.5312 	 7.2812 	 6.5938 	 0.0286 	 0.0249 	 0.0185 
0.00069697 	 6.6250 	 5.9062 	 6.9688 	 6.1250 	 0.0278 	 0.0249 	 0.0177 
0.00070707 	 6.4688 	 5.5938 	 6.6562 	 5.8125 	 0.0286 	 0.0241 	 0.0193 
0.00071717 	 6.0000 	 5.4375 	 6.3438 	 5.6562 	 0.0261 	 0.0225 	 0.0161 
0.00072727 	 5.8438 	 5.2812 	 6.1875 	 5.3438 	 0.0245 	 0.0217 	 0.0161 
0.00073737 	 5.5312 	 5.1250 	 5.7188 	 5.0312 	 0.0245 	 0.0217 	 0.0129 
0.00074747 	 5.2188 	 4.8125 	 5.2500 	 4.8750 	 0.0245 	 0.0201 	 0.0145 
0.00075758 	 5.0625 	 4.6562 	 5.0938 	 4.5625 	 0.0221 	 0.0201 	 0.0129 
0.00076768 	 4.7500 	 4.3438 	 4.7812 	 4.5625 	 0.0229 	 0.0193 	 0.0129 
0.00077778 	 4.2812 	 3.8750 	 4.6250 	 3.9375 	 0.0221 	 0.0161 	 0.0121 
0.00078788 	 3.9688 	 3.5625 	 4.0000 	 3.6250 	 0.0197 	 0.0153 	 0.0088 
0.00079798 	 3.6562 	 3.2500 	 4.0000 	 3.3125 	 0.0181 	 0.0137 	 0.0056 
0.00080808 	 3.3438 	 3.0938 	 3.5312 	 3.1562 	 0.0173 	 0.0096 	 0.0056 
